Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
-10.0,765,Переменная облачность,В 1м/с,-14.0,766.0,Ясно,В 1м/с
-10.0,767,Ясно,СЗ 1м/с,-15.0,766.0,Ясно,СЗ 1м/с
-16.0,766,Ясно,СВ 2м/с,-18.0,767.0,Ясно,СВ 2м/с
-17.0,767,Переменная облачность,В 4м/с,-19.0,768.0,Пасмурно,В 4м/с
-19.0,772,Переменная облачность,В 3м/с,-21.0,773.0,Малооблачно,В 3м/с
-19.0,772,Ясно,В 2м/с,-21.0,772.0,Ясно,В 2м/с
-19.0,777,Ясно,В 1м/с,-24.0,779.0,Ясно,В 1м/с
-15.0,776,Ясно,С 2м/с,-20.0,774.0,Ясно,С 2м/с
-14.0,770,Ясно,СВ 2м/с,-16.0,770.0,Ясно,СВ 2м/с
-13.0,769,Малооблачно,В 2м/с,-14.0,767.0,Ясно,В 2м/с
-13.0,760,Пасмурно,В 5м/с,-11.0,758.0,Пасмурно,В 5м/с
-12.0,756,Пасмурно,В 3м/с,-16.0,758.0,Малооблачно,В 3м/с
-17.0,762,Ясно,ЮВ 2м/с,-18.0,762.0,Ясно,ЮВ 2м/с
-14.0,763,Малооблачно,ЮВ 2м/с,-16.0,764.0,Ясно,ЮВ 2м/с
-17.0,766,Ясно,Ш,-25.0,766.0,Ясно,Ш
-17.0,764,Малооблачно,ЮВ 1м/с,-18.0,764.0,Малооблачно,ЮВ 1м/с
-13.0,764,Ясно,В 2м/с,-14.0,763.0,Ясно,В 2м/с
-11.0,758,Ясно,ЮВ 4м/с,-14.0,757.0,Ясно,ЮВ 4м/с
-10.0,758,Ясно,ЮВ 2м/с,-13.0,759.0,Ясно,ЮВ 2м/с
-8.0,758,Ясно,В 3м/с,-12.0,758.0,Ясно,В 3м/с
-9.0,760,Ясно,ЮВ 2м/с,-12.0,761.0,Ясно,ЮВ 2м/с
-6.0,762,Ясно,СЗ 2м/с,-11.0,763.0,Ясно,СЗ 2м/с
-6.0,765,Ясно,СЗ 2м/с,-10.0,764.0,Ясно,СЗ 2м/с
-5.0,761,Ясно,З 1м/с,-10.0,760.0,Ясно,З 1м/с
-10.0,757,Малооблачно,Ю 2м/с,-13.0,757.0,Малооблачно,Ю 2м/с
-8.0,756,Малооблачно,Ю 2м/с,-13.0,755.0,Переменная облачность,Ю 2м/с
-8.0,751,Малооблачно,ЮВ 3м/с,-11.0,749.0,Ясно,ЮВ 3м/с
-10.0,746,Пасмурно,ЮВ 4м/с,-10.0,746.0,Малооблачно,ЮВ 4м/с
-9.0,745,Малооблачно,В 5м/с,-10.0,745.0,Переменная облачность,В 5м/с
-9.0,746,Переменная облачность,В 4м/с,-8.0,747.0,Пасмурно,В 4м/с
-3.0,749,Пасмурно,В 2м/с,-3.0,749.0,Пасмурно,В 2м/с
-1.0,745,Пасмурно,ЮВ 2м/с,-2.0,745.0,Переменная облачность,ЮВ 2м/с
-3.0,744,Переменная облачность,ЮВ 2м/с,-3.0,743.0,Пасмурно,ЮВ 2м/с
-3.0,740,Малооблачно,В 2м/с,-6.0,739.0,Ясно,В 2м/с
-4.0,736,Малооблачно,В 2м/с,-6.0,737.0,Пасмурно,В 2м/с
-3.0,741,Малооблачно,ЮВ 2м/с,-6.0,743.0,Переменная облачность,ЮВ 2м/с
-3.0,740,Переменная облачность,С 3м/с,-5.0,740.0,Малооблачно,С 3м/с
-3.0,741,Пасмурно,В 2м/с,-6.0,743.0,Переменная облачность,В 2м/с
-6.0,746,Пасмурно,В 2м/с,-9.0,746.0,Малооблачно,В 2м/с
-7.0,750,Переменная облачность,В 2м/с,-7.0,750.0,Переменная облачность,В 2м/с
-6.0,749,Переменная облачность,ЮВ 2м/с,-13.0,751.0,Ясно,ЮВ 2м/с
-13.0,754,Ясно,В 2м/с,-15.0,755.0,Ясно,В 2м/с
-10.0,756,Ясно,ЮВ 1м/с,-15.0,758.0,Ясно,ЮВ 1м/с
-12.0,755,Малооблачно,Ю 2м/с,-16.0,753.0,Малооблачно,Ю 2м/с
-11.0,740,Пасмурно,В 3м/с,-10.0,737.0,Пасмурно,В 3м/с
-5.0,728,Пасмурно,В 3м/с,-2.0,722.0,Пасмурно,В 3м/с
-1.0,736,Переменная облачность,З 2м/с,-5.0,739.0,Пасмурно,З 2м/с
-3.0,743,Малооблачно,СЗ 2м/с,-8.0,745.0,Пасмурно,СЗ 2м/с
-6.0,743,Пасмурно,З 3м/с,-6.0,742.0,Пасмурно,З 3м/с
1.0,742,Переменная облачность,З 4м/с,1.0,741.0,Пасмурно,З 4м/с
6.0,747,Ясно,СЗ 1м/с,-1.0,749.0,Переменная облачность,СЗ 1м/с
0.0,743,Пасмурно,Ю 3м/с,0.0,743.0,Пасмурно,Ю 3м/с
1.0,737,Переменная облачность,ЮЗ 5м/с,0.0,739.0,Пасмурно,ЮЗ 5м/с
3.0,742,Переменная облачность,СЗ 2м/с,-1.0,737.0,Пасмурно,СЗ 2м/с
0.0,742,Малооблачно,З 3м/с,-4.0,742.0,Ясно,З 3м/с
-2.0,740,Малооблачно,С 2м/с,-4.0,743.0,Малооблачно,С 2м/с
-1.0,747,Малооблачно,СЗ 3м/с,-4.0,749.0,Ясно,СЗ 3м/с
-3.0,747,Пасмурно,ЮВ 3м/с,-3.0,737.0,Пасмурно,ЮВ 3м/с
0.0,732,Пасмурно,ЮЗ 3м/с,-1.0,734.0,Пасмурно,ЮЗ 3м/с
-3.0,738,Пасмурно,З 3м/с,-5.0,742.0,Ясно,З 3м/с
-2.0,746,Ясно,ЮЗ 3м/с,-4.0,746.0,Переменная облачность,ЮЗ 3м/с
2.0,741,Пасмурно,ЮЗ 5м/с,3.0,742.0,Пасмурно,ЮЗ 5м/с
3.0,739,Переменная облачность,ЮВ 3м/с,1.0,738.0,Малооблачно,ЮВ 3м/с
3.0,736,Переменная облачность,Ю 2м/с,3.0,734.0,Пасмурно,Ю 2м/с
4.0,742,Пасмурно,З 3м/с,1.0,744.0,Ясно,З 3м/с
2.0,745,Пасмурно,ЮЗ 3м/с,1.0,748.0,Ясно,ЮЗ 3м/с
4.0,755,Переменная облачность,З 3м/с,0.0,756.0,Ясно,З 3м/с
8.0,751,Ясно,Ю 3м/с,7.0,749.0,Переменная облачность,Ю 3м/с
3.0,749,Пасмурно,С 1м/с,1.0,749.0,Пасмурно,С 1м/с
9.0,748,Ясно,ЮВ 2м/с,7.0,746.0,Ясно,ЮВ 2м/с
12.0,743,Малооблачно,ЮВ 3м/с,13.0,743.0,Пасмурно,ЮВ 3м/с
19.0,743,Переменная облачность,ЮВ 2м/с,15.0,742.0,Малооблачно,ЮВ 2м/с
22.0,746,Ясно,ЮВ 2м/с,18.0,745.0,Пасмурно,ЮВ 2м/с
12.0,746,Ясно,З 4м/с,8.0,749.0,Ясно,З 4м/с
14.0,750,Ясно,СВ 2м/с,12.0,749.0,Ясно,СВ 2м/с
21.0,740,Малооблачно,Ю 4м/с,14.0,743.0,Ясно,Ю 4м/с
17.0,749,Ясно,З 3м/с,14.0,750.0,Ясно,З 3м/с
20.0,752,Ясно,СВ 1м/с,17.0,751.0,Ясно,СВ 1м/с
25.0,748,Ясно,ЮВ 2м/с,20.0,747.0,Ясно,ЮВ 2м/с
29.0,746,Ясно,ЮВ 3м/с,23.0,745.0,Ясно,ЮВ 3м/с
25.0,744,Ясно,ЮЗ 3м/с,21.0,743.0,Переменная облачность,ЮЗ 3м/с
24.0,745,Ясно,СВ 2м/с,19.0,746.0,Ясно,СВ 2м/с
25.0,747,Ясно,В 3м/с,21.0,747.0,Ясно,В 3м/с
28.0,747,Малооблачно,ЮВ 3м/с,22.0,747.0,Ясно,ЮВ 3м/с
17.0,746,Пасмурно,В 1м/с,16.0,746.0,Ясно,В 1м/с
25.0,747,Малооблачно,ЮВ 1м/с,21.0,746.0,Ясно,ЮВ 1м/с
22.0,747,Переменная облачность,З 3м/с,16.0,749.0,Ясно,З 3м/с
23.0,752,Малооблачно,СЗ 1м/с,15.0,752.0,Ясно,СЗ 1м/с
25.0,751,Переменная облачность,С 2м/с,19.0,752.0,Малооблачно,С 2м/с
25.0,749,Малооблачно,З 1м/с,19.0,749.0,Ясно,З 1м/с
24.0,750,Ясно,СЗ 2м/с,19.0,749.0,Ясно,СЗ 2м/с
22.0,748,Малооблачно,З 3м/с,21.0,744.0,Ясно,З 3м/с
6.0,743,Пасмурно,С 2м/с,7.0,745.0,Переменная облачность,С 2м/с
11.0,745,Переменная облачность,С 2м/с,9.0,741.0,Переменная облачность,С 2м/с
14.0,740,Переменная облачность,С 3м/с,8.0,744.0,Переменная облачность,С 3м/с
13.0,740,Переменная облачность,З 2м/с,8.0,741.0,Малооблачно,З 2м/с
18.0,741,Переменная облачность,З 3м/с,10.0,746.0,Ясно,З 3м/с
16.0,751,Ясно,З 1м/с,8.0,751.0,Ясно,З 1м/с
21.0,751,Переменная облачность,Ю 3м/с,20.0,751.0,Малооблачно,Ю 3м/с
27.0,752,Ясно,З 2м/с,22.0,752.0,Ясно,З 2м/с
27.0,753,Ясно,З 2м/с,18.0,754.0,Ясно,З 2м/с
29.0,757,Малооблачно,З 2м/с,21.0,757.0,Малооблачно,З 2м/с
30.0,758,Переменная облачность,ЮЗ 3м/с,22.0,756.0,Малооблачно,ЮЗ 3м/с
26.0,755,Ясно,С 2м/с,19.0,754.0,Ясно,С 2м/с
21.0,748,Ясно,Ш,21.0,748.0,Ясно,Ш
29.0,746,Малооблачно,З 2м/с,20.0,746.0,Переменная облачность,З 2м/с
24.0,748,Переменная облачность,ЮВ 2м/с,17.0,749.0,Переменная облачность,ЮВ 2м/с
21.0,752,Ясно,СВ 3м/с,16.0,754.0,Ясно,СВ 3м/с
22.0,754,Переменная облачность,В 2м/с,17.0,754.0,Ясно,В 2м/с
21.0,753,Ясно,З 1м/с,18.0,752.0,Ясно,З 1м/с
25.0,754,Ясно,В 2м/с,16.0,755.0,Ясно,В 2м/с
27.0,758,Малооблачно,З 2м/с,17.0,758.0,Ясно,З 2м/с
27.0,758,Ясно,З 1м/с,19.0,757.0,Ясно,З 1м/с
27.0,755,Ясно,С 1м/с,19.0,754.0,Ясно,С 1м/с
27.0,752,Малооблачно,З 1м/с,23.0,749.0,Переменная облачность,З 1м/с
26.0,746,Переменная облачность,Ю 1м/с,22.0,745.0,Переменная облачность,Ю 1м/с
12.0,749,Пасмурно,С 4м/с,12.0,750.0,Малооблачно,С 4м/с
15.0,749,Переменная облачность,В 3м/с,15.0,749.0,Пасмурно,В 3м/с
21.0,743,Пасмурно,В 2м/с,20.0,742.0,Переменная облачность,В 2м/с
25.0,741,Малооблачно,З 2м/с,20.0,741.0,Переменная облачность,З 2м/с
18.0,743,Переменная облачность,З 3м/с,12.0,745.0,Ясно,З 3м/с
25.0,746,Малооблачно,З 2м/с,16.0,747.0,Ясно,З 2м/с
27.0,749,Переменная облачность,ЮЗ 2м/с,22.0,748.0,Малооблачно,ЮЗ 2м/с
23.0,746,Малооблачно,ЮВ 1м/с,22.0,746.0,Малооблачно,ЮВ 1м/с
26.0,746,Малооблачно,З 2м/с,22.0,746.0,Переменная облачность,З 2м/с
25.0,746,Малооблачно,З 2м/с,19.0,746.0,Ясно,З 2м/с
20.0,743,Пасмурно,З 5м/с,14.0,746.0,Ясно,З 5м/с
12.0,746,Переменная облачность,З 2м/с,11.0,748.0,Ясно,З 2м/с
21.0,749,Переменная облачность,ЮЗ 2м/с,19.0,749.0,Малооблачно,ЮЗ 2м/с
22.0,747,Малооблачно,Ш,21.0,746.0,Ясно,Ш
29.0,743,Малооблачно,В 2м/с,26.0,741.0,Переменная облачность,В 2м/с
33.0,741,Ясно,ЮЗ 3м/с,21.0,742.0,Переменная облачность,ЮЗ 3м/с
25.0,746,Переменная облачность,З 3м/с,18.0,746.0,Малооблачно,З 3м/с
24.0,749,Малооблачно,СЗ 3м/с,20.0,747.0,Переменная облачность,СЗ 3м/с
20.0,746,Пасмурно,З 1м/с,17.0,746.0,Малооблачно,З 1м/с
27.0,748,Малооблачно,З 2м/с,21.0,746.0,Ясно,З 2м/с
34.0,743,Малооблачно,ЮЗ 3м/с,24.0,744.0,Ясно,ЮЗ 3м/с
33.0,746,Ясно,ЮЗ 3м/с,28.0,746.0,Ясно,ЮЗ 3м/с
31.0,749,Ясно,СВ 2м/с,20.0,747.0,Пасмурно,СВ 2м/с
31.0,743,Ясно,В 3м/с,27.0,740.0,Малооблачно,В 3м/с
26.0,740,Переменная облачность,С 3м/с,21.0,742.0,Переменная облачность,С 3м/с
23.0,744,Пасмурно,СЗ 3м/с,20.0,744.0,Малооблачно,СЗ 3м/с
23.0,743,Переменная облачность,С 3м/с,19.0,743.0,Переменная облачность,С 3м/с
21.0,743,Малооблачно,СВ 2м/с,19.0,743.0,Переменная облачность,СВ 2м/с
26.0,743,Переменная облачность,СВ 2м/с,21.0,743.0,Малооблачно,СВ 2м/с
19.0,742,Пасмурно,Ш,18.0,743.0,Пасмурно,Ш
24.0,745,Ясно,С 3м/с,19.0,747.0,Ясно,С 3м/с
24.0,747,Ясно,С 2м/с,18.0,748.0,Ясно,С 2м/с
26.0,748,Ясно,С 2м/с,22.0,748.0,Ясно,С 2м/с
29.0,749,Малооблачно,Ю 3м/с,25.0,747.0,Ясно,Ю 3м/с
30.0,746,Малооблачно,ЮВ 1м/с,25.0,746.0,Ясно,ЮВ 1м/с
29.0,743,Малооблачно,В 2м/с,25.0,741.0,Малооблачно,В 2м/с
25.0,740,Малооблачно,СЗ 2м/с,19.0,742.0,Переменная облачность,СЗ 2м/с
26.0,746,Переменная облачность,З 2м/с,22.0,746.0,Переменная облачность,З 2м/с
24.0,749,Переменная облачность,С 3м/с,19.0,751.0,Ясно,С 3м/с
19.0,749,Пасмурно,СВ 2м/с,19.0,746.0,Переменная облачность,СВ 2м/с
25.0,747,Переменная облачность,ЮВ 2м/с,22.0,747.0,Переменная облачность,ЮВ 2м/с
28.0,749,Переменная облачность,ЮЗ 1м/с,21.0,749.0,Ясно,ЮЗ 1м/с
29.0,750,Ясно,СЗ 2м/с,22.0,749.0,Переменная облачность,СЗ 2м/с
27.0,749,Переменная облачность,СВ 2м/с,24.0,748.0,Ясно,СВ 2м/с
25.0,747,Ясно,В 2м/с,20.0,746.0,Ясно,В 2м/с
25.0,748,Ясно,СВ 2м/с,21.0,748.0,Ясно,СВ 2м/с
27.0,749,Ясно,С 2м/с,17.0,749.0,Ясно,С 2м/с
30.0,750,Ясно,З 2м/с,21.0,749.0,Ясно,З 2м/с
32.0,750,Ясно,В 1м/с,28.0,749.0,Ясно,В 1м/с
34.0,748,Малооблачно,СЗ 2м/с,29.0,746.0,Ясно,СЗ 2м/с
31.0,746,Переменная облачность,ЮВ 2м/с,27.0,745.0,Переменная облачность,ЮВ 2м/с
29.0,743,Малооблачно,В 2м/с,25.0,743.0,Малооблачно,В 2м/с
32.0,744,Малооблачно,З 2м/с,24.0,745.0,Ясно,З 2м/с
32.0,745,Малооблачно,ЮЗ 2м/с,23.0,744.0,Ясно,ЮЗ 2м/с
27.0,742,Пасмурно,Ю 3м/с,25.0,739.0,Ясно,Ю 3м/с
19.0,742,Переменная облачность,З 6м/с,16.0,745.0,Ясно,З 6м/с
22.0,746,Малооблачно,ЮЗ 3м/с,21.0,745.0,Переменная облачность,ЮЗ 3м/с
23.0,746,Малооблачно,ЮЗ 3м/с,22.0,746.0,Пасмурно,ЮЗ 3м/с
27.0,746,Переменная облачность,ЮЗ 3м/с,19.0,748.0,Ясно,ЮЗ 3м/с
26.0,752,Малооблачно,З 3м/с,18.0,754.0,Ясно,З 3м/с
29.0,753,Ясно,ЮЗ 3м/с,22.0,752.0,Малооблачно,ЮЗ 3м/с
23.0,750,Малооблачно,З 2м/с,19.0,750.0,Ясно,З 2м/с
24.0,750,Переменная облачность,З 2м/с,20.0,751.0,Малооблачно,З 2м/с
24.0,749,Малооблачно,СЗ 1м/с,21.0,749.0,Малооблачно,СЗ 1м/с
28.0,748,Ясно,ЮЗ 2м/с,23.0,746.0,Переменная облачность,ЮЗ 2м/с
25.0,748,Переменная облачность,СЗ 3м/с,21.0,749.0,Ясно,СЗ 3м/с
23.0,751,Малооблачно,С 3м/с,18.0,752.0,Ясно,С 3м/с
25.0,750,Ясно,СВ 3м/с,17.0,750.0,Малооблачно,СВ 3м/с
26.0,749,Переменная облачность,СЗ 2м/с,19.0,747.0,Ясно,СЗ 2м/с
30.0,749,Малооблачно,СЗ 1м/с,22.0,749.0,Ясно,СЗ 1м/с
32.0,750,Переменная облачность,З 3м/с,25.0,751.0,Малооблачно,З 3м/с
31.0,750,Ясно,С 2м/с,26.0,750.0,Ясно,С 2м/с
32.0,749,Ясно,СЗ 2м/с,26.0,749.0,Ясно,СЗ 2м/с
33.0,748,Ясно,СЗ 2м/с,22.0,748.0,Ясно,СЗ 2м/с
32.0,748,Ясно,С 1м/с,28.0,749.0,Ясно,С 1м/с
31.0,750,Малооблачно,СЗ 2м/с,26.0,750.0,Ясно,СЗ 2м/с
33.0,749,Ясно,С 1м/с,23.0,748.0,Ясно,С 1м/с
37.0,745,Ясно,З 1м/с,23.0,748.0,Пасмурно,З 1м/с
29.0,745,Малооблачно,С 2м/с,20.0,745.0,Переменная облачность,С 2м/с
22.0,747,Переменная облачность,СЗ 2м/с,21.0,748.0,Малооблачно,СЗ 2м/с
27.0,750,Малооблачно,СВ 2м/с,24.0,750.0,Ясно,СВ 2м/с
30.0,749,Ясно,СВ 2м/с,25.0,749.0,Ясно,СВ 2м/с
28.0,750,Переменная облачность,В 2м/с,25.0,751.0,Переменная облачность,В 2м/с
28.0,748,Ясно,В 3м/с,21.0,746.0,Пасмурно,В 3м/с
26.0,744,Ясно,З 2м/с,19.0,745.0,Ясно,З 2м/с
21.0,746,Переменная облачность,В 1м/с,19.0,745.0,Ясно,В 1м/с
26.0,740,Переменная облачность,ЮЗ 3м/с,19.0,740.0,Малооблачно,ЮЗ 3м/с
23.0,745,Переменная облачность,СЗ 2м/с,15.0,746.0,Ясно,СЗ 2м/с
25.0,744,Малооблачно,З 2м/с,20.0,742.0,Переменная облачность,З 2м/с
24.0,739,Малооблачно,З 2м/с,19.0,739.0,Переменная облачность,З 2м/с
19.0,738,Переменная облачность,З 1м/с,15.0,739.0,Переменная облачность,З 1м/с
22.0,741,Переменная облачность,С 2м/с,17.0,742.0,Ясно,С 2м/с
23.0,740,Малооблачно,З 3м/с,17.0,742.0,Переменная облачность,З 3м/с
21.0,744,Пасмурно,СЗ 3м/с,15.0,745.0,Ясно,СЗ 3м/с
20.0,744,Переменная облачность,З 1м/с,15.0,745.0,Пасмурно,З 1м/с
22.0,748,Ясно,СВ 2м/с,18.0,748.0,Ясно,СВ 2м/с
25.0,748,Ясно,ЮВ 1м/с,20.0,749.0,Ясно,ЮВ 1м/с
28.0,747,Переменная облачность,ЮВ 2м/с,23.0,745.0,Ясно,ЮВ 2м/с
24.0,741,Пасмурно,ЮЗ 3м/с,17.0,740.0,Переменная облачность,ЮЗ 3м/с
13.0,745,Переменная облачность,С 3м/с,12.0,747.0,Переменная облачность,С 3м/с
12.0,747,Переменная облачность,СЗ 2м/с,10.0,748.0,Переменная облачность,СЗ 2м/с
12.0,753,Переменная облачность,С 2м/с,7.0,754.0,Малооблачно,С 2м/с
16.0,751,Переменная облачность,З 2м/с,13.0,751.0,Пасмурно,З 2м/с
18.0,749,Малооблачно,СЗ 1м/с,15.0,748.0,Ясно,СЗ 1м/с
21.0,746,Переменная облачность,ЮВ 1м/с,16.0,747.0,Ясно,ЮВ 1м/с
23.0,748,Малооблачно,З 2м/с,15.0,748.0,Ясно,З 2м/с
24.0,743,Ясно,ЮЗ 2м/с,20.0,742.0,Ясно,ЮЗ 2м/с
15.0,742,Переменная облачность,СЗ 2м/с,9.0,744.0,Ясно,СЗ 2м/с
18.0,743,Переменная облачность,ЮЗ 3м/с,16.0,741.0,Переменная облачность,ЮЗ 3м/с
11.0,743,Пасмурно,З 4м/с,10.0,745.0,Пасмурно,З 4м/с
12.0,747,Пасмурно,З 3м/с,11.0,748.0,Пасмурно,З 3м/с
14.0,747,Переменная облачность,З 2м/с,11.0,745.0,Переменная облачность,З 2м/с
20.0,747,Переменная облачность,СЗ 2м/с,15.0,747.0,Ясно,СЗ 2м/с
24.0,749,Ясно,СЗ 2м/с,13.0,749.0,Ясно,СЗ 2м/с
26.0,748,Ясно,З 3м/с,20.0,747.0,Переменная облачность,З 3м/с
27.0,743,Малооблачно,З 3м/с,17.0,742.0,Ясно,З 3м/с
17.0,749,Переменная облачность,С 3м/с,11.0,750.0,Ясно,С 3м/с
18.0,752,Переменная облачность,СЗ 3м/с,12.0,753.0,Ясно,СЗ 3м/с
18.0,755,Малооблачно,СВ 1м/с,15.0,756.0,Ясно,СВ 1м/с
19.0,756,Ясно,В 2м/с,11.0,756.0,Ясно,В 2м/с
22.0,756,Ясно,В 1м/с,15.0,756.0,Ясно,В 1м/с
22.0,755,Ясно,Ю 2м/с,13.0,755.0,Ясно,Ю 2м/с
23.0,751,Ясно,ЮВ 2м/с,18.0,750.0,Ясно,ЮВ 2м/с
12.0,743,Пасмурно,ЮЗ 2м/с,11.0,744.0,Ясно,ЮЗ 2м/с
14.0,741,Переменная облачность,ЮЗ 5м/с,11.0,743.0,Пасмурно,ЮЗ 5м/с
13.0,748,Переменная облачность,ЮЗ 2м/с,13.0,750.0,Переменная облачность,ЮЗ 2м/с
15.0,753,Малооблачно,С 3м/с,8.0,755.0,Ясно,С 3м/с
14.0,757,Ясно,З 2м/с,10.0,756.0,Ясно,З 2м/с
14.0,751,Малооблачно,Ю 2м/с,14.0,751.0,Пасмурно,Ю 2м/с
18.0,752,Переменная облачность,Ш,12.0,751.0,Малооблачно,Ш
13.0,743,Пасмурно,З 6м/с,10.0,745.0,Переменная облачность,З 6м/с
10.0,754,Переменная облачность,СЗ 4м/с,8.0,755.0,Переменная облачность,СЗ 4м/с
12.0,755,Ясно,С 2м/с,6.0,756.0,Ясно,С 2м/с
9.0,756,Малооблачно,Ю 1м/с,8.0,755.0,Переменная облачность,Ю 1м/с
13.0,754,Малооблачно,Ю 1м/с,13.0,753.0,Малооблачно,Ю 1м/с
9.0,749,Переменная облачность,Ю 3м/с,11.0,748.0,Переменная облачность,Ю 3м/с
17.0,749,Ясно,З 2м/с,15.0,748.0,Ясно,З 2м/с
21.0,748,Ясно,Ю 3м/с,15.0,747.0,Ясно,Ю 3м/с
23.0,744,Ясно,ЮВ 2м/с,18.0,742.0,Переменная облачность,ЮВ 2м/с
12.0,746,Переменная облачность,ЮЗ 3м/с,10.0,750.0,Переменная облачность,ЮЗ 3м/с
15.0,754,Малооблачно,З 1м/с,10.0,754.0,Ясно,З 1м/с
13.0,750,Переменная облачность,В 2м/с,12.0,747.0,Переменная облачность,В 2м/с
10.0,742,Пасмурно,З 2м/с,8.0,743.0,Переменная облачность,З 2м/с
7.0,750,Пасмурно,СЗ 3м/с,6.0,753.0,Ясно,СЗ 3м/с
10.0,758,Ясно,З 3м/с,4.0,759.0,Ясно,З 3м/с
13.0,760,Ясно,Ш,10.0,760.0,Пасмурно,Ш
10.0,758,Малооблачно,В 2м/с,9.0,758.0,Переменная облачность,В 2м/с
15.0,759,Переменная облачность,ЮЗ 2м/с,14.0,760.0,Пасмурно,ЮЗ 2м/с
17.0,761,Ясно,ЮЗ 3м/с,12.0,761.0,Ясно,ЮЗ 3м/с
17.0,756,Ясно,ЮЗ 4м/с,13.0,755.0,Ясно,ЮЗ 4м/с
13.0,754,Переменная облачность,З 2м/с,12.0,750.0,Переменная облачность,З 2м/с
11.0,747,Пасмурно,З 2м/с,4.0,750.0,Переменная облачность,З 2м/с
1.0,756,Переменная облачность,С 2м/с,1.0,757.0,Малооблачно,С 2м/с
3.0,752,Переменная облачность,В 1м/с,3.0,751.0,Малооблачно,В 1м/с
3.0,748,Переменная облачность,З 2м/с,3.0,747.0,Малооблачно,З 2м/с
4.0,739,Пасмурно,Ю 2м/с,5.0,738.0,Пасмурно,Ю 2м/с
6.0,753,Переменная облачность,ЮВ 2м/с,6.0,753.0,Переменная облачность,ЮВ 2м/с
14.0,747,Пасмурно,Ю 4м/с,10.0,747.0,Пасмурно,Ю 4м/с
2.0,753,Пасмурно,В 2м/с,2.0,752.0,Пасмурно,В 2м/с
14.0,750,Малооблачно,ЮВ 3м/с,13.0,751.0,Переменная облачность,ЮВ 3м/с
6.0,756,Переменная облачность,З 1м/с,3.0,757.0,Пасмурно,З 1м/с
1.0,758,Переменная облачность,С 1м/с,1.0,759.0,Малооблачно,С 1м/с
4.0,757,Ясно,З 2м/с,0.0,756.0,Ясно,З 2м/с
2.0,754,Пасмурно,ЮЗ 3м/с,3.0,754.0,Пасмурно,ЮЗ 3м/с
7.0,752,Пасмурно,ЮЗ 2м/с,5.0,752.0,Пасмурно,ЮЗ 2м/с
11.0,748,Переменная облачность,ЮВ 1м/с,10.0,746.0,Пасмурно,ЮВ 1м/с
8.0,744,Переменная облачность,Ш,5.0,745.0,Переменная облачность,Ш
6.0,743,Переменная облачность,ЮЗ 3м/с,4.0,743.0,Пасмурно,ЮЗ 3м/с
3.0,748,Переменная облачность,ЮЗ 2м/с,5.0,748.0,Переменная облачность,ЮЗ 2м/с
2.0,749,Пасмурно,СЗ 3м/с,-1.0,752.0,Пасмурно,СЗ 3м/с
0.0,760,Переменная облачность,С 3м/с,-1.0,760.0,Переменная облачность,С 3м/с
-1.0,761,Малооблачно,ЮЗ 2м/с,-1.0,759.0,Пасмурно,ЮЗ 2м/с
0.0,753,Пасмурно,ЮЗ 4м/с,1.0,752.0,Пасмурно,ЮЗ 4м/с
1.0,748,Малооблачно,СЗ 3м/с,0.0,748.0,Переменная облачность,СЗ 3м/с
0.0,748,Переменная облачность,З 1м/с,-1.0,746.0,Пасмурно,З 1м/с
4.0,737,Пасмурно,ЮЗ 5м/с,1.0,740.0,Пасмурно,ЮЗ 5м/с
1.0,750,Переменная облачность,С 2м/с,0.0,754.0,Переменная облачность,С 2м/с
0.0,758,Переменная облачность,З 2м/с,0.0,759.0,Пасмурно,З 2м/с
1.0,760,Пасмурно,ЮЗ 2м/с,1.0,761.0,Пасмурно,ЮЗ 2м/с
2.0,762,Малооблачно,З 2м/с,2.0,762.0,Переменная облачность,З 2м/с
2.0,762,Пасмурно,З 2м/с,2.0,763.0,Пасмурно,З 2м/с
1.0,765,Малооблачно,З 1м/с,0.0,765.0,Пасмурно,З 1м/с
1.0,764,Переменная облачность,ЮЗ 3м/с,0.0,763.0,Пасмурно,ЮЗ 3м/с
-1.0,759,Переменная облачность,З 2м/с,-1.0,759.0,Переменная облачность,З 2м/с
-2.0,760,Пасмурно,ЮВ 1м/с,-3.0,759.0,Пасмурно,ЮВ 1м/с
-3.0,754,Пасмурно,Ю 2м/с,-3.0,752.0,Пасмурно,Ю 2м/с
-1.0,747,Пасмурно,ЮЗ 2м/с,-1.0,746.0,Пасмурно,ЮЗ 2м/с
-3.0,749,Переменная облачность,СЗ 1м/с,-3.0,750.0,Переменная облачность,СЗ 1м/с
-4.0,752,Пасмурно,Ш,-5.0,751.0,Пасмурно,Ш
-3.0,752,Пасмурно,В 4м/с,-2.0,750.0,Пасмурно,В 4м/с
4.0,749,Ясно,ЮЗ 1м/с,5.0,750.0,Ясно,ЮЗ 1м/с
4.0,749,Малооблачно,В 2м/с,6.0,745.0,Пасмурно,В 2м/с
2.0,749,Пасмурно,СЗ 2м/с,0.0,750.0,Пасмурно,СЗ 2м/с
2.0,742,Пасмурно,В 4м/с,5.0,739.0,Переменная облачность,В 4м/с
3.0,744,Пасмурно,С 1м/с,1.0,747.0,Переменная облачность,С 1м/с
